,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Respiratory Diseases ,Respiratory disease Dummy
213736,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,11-Dec-02,Parts per billion,28.73913,37,20,35,Parts per million,0.00925,0.018,12,15,Parts per billion,3.227273,7,10,10,Parts per million,0.8625,1.1,9,13,0,No
334243,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,20-Jan-03,Parts per billion,29.041667,41,6,39,Parts per million,0.014458,0.021,11,18,Parts per billion,16.95,31,5,,Parts per million,0.775,1,8,,0,No
198270,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,22-Sep-02,Parts per billion,48.652174,83,8,82,Parts per million,0.024958,0.065,10,67,Parts per billion,2.5,4,8,,Parts per million,1.316667,1.9,8,22,0,No
485032,8,31,2,2105 BROADWAY,Colorado,Denver,Denver,30-Jun-05,Parts per billion,18.304348,33,8,31,Parts per million,0.024294,0.039,10,33,Parts per billion,0.885714,2.3,8,,Parts per million,0.554167,0.7,10,8,0,No
351973,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,11-May-03,Parts per billion,18.5,28,21,26,Parts per million,0.001417,0.007,0,6,Parts per billion,1.366667,2,11,,Parts per million,0.608696,1.4,19,,0,No
337623,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,28-Aug-03,Parts per billion,15.875,44,22,42,Parts per million,0.026708,0.048,10,41,Parts per billion,5.083333,8,20,11,Parts per million,0.4,1.6,22,,0,No
353623,42,129,8,DONOHOE ROAD - PENN DOT MAINT DIST BLDG,Pennsylvania,Westmoreland,Greensburg,23-Aug-03,Parts per billion,6.625,19,23,18,Parts per million,0.021625,0.034,10,29,Parts per billion,1.916667,2,0,3,Parts per million,0,0,0,,0,No
148746,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,21-Oct-01,Parts per billion,15.5,37,0,35,Parts per million,0.020667,0.035,9,30,Parts per billion,0.2375,1,17,,Parts per million,1.166667,2.4,1,27,0,No
216840,6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,03-Feb-02,Parts per billion,13.05,24,0,23,Parts per million,0.0263,0.04,10,34,Parts per billion,0.1,0.3,8,,Parts per million,0.323529,0.5,22,6,0,No
196266,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,30-Apr-02,Parts per billion,18.652174,29,2,27,Parts per million,0.02475,0.041,10,35,Parts per billion,1.043478,2,5,3,Parts per million,0.3875,0.5,7,6,0,No
