,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Respiratory Diseases ,Respiratory disease Dummy
410653,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,09-Aug-04,Parts per billion,15.85,25,17,24,Parts per million,0.008958,0.017,20,14,Parts per billion,2.625,6,19,9,Parts per million,0.075,0.2,11,2,0,No
31082,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,23-Dec-00,Parts per billion,9.761905,21,21,20,Parts per million,0.022714,0.037,11,31,Parts per billion,0.15,0.6,11,,Parts per million,0.414286,1.2,21,,0,No
67431,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,19-May-00,Parts per billion,10.041667,18,6,17,Parts per million,0.057042,0.07,12,84,Parts per billion,2.7375,6.3,11,,Parts per million,0.3375,0.4,0,5,0,No
106073,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,28-Feb-01,Parts per billion,38.434783,46,9,43,Parts per million,0.003542,0.008,10,7,Parts per billion,2.521739,4,5,6,Parts per million,0.8125,1.1,22,13,0,No
365999,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,27-Dec-04,Parts per billion,20.086957,32,22,30,Parts per million,0.011625,0.019,12,16,Parts per billion,0.318182,1,7,1,Parts per million,0.569565,0.9,11,,0,No
419763,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,28-Jul-04,Parts per billion,12.25,18,13,17,Parts per million,0.016,0.022,11,19,Parts per billion,3.1375,4.6,14,,Parts per million,0.104167,0.2,15,,0,No
148954,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,14-Dec-01,Parts per billion,21.958333,49,18,46,Parts per million,0.014917,0.03,8,25,Parts per billion,6.628571,20.6,17,,Parts per million,0.945833,2.4,23,27,0,No
122998,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,18-Mar-01,Parts per billion,3.826087,7,9,7,Parts per million,0.053542,0.07,12,84,Parts per billion,0.228571,1,5,,Parts per million,0.254167,0.3,11,3,0,No
82297,42,133,8,HILL ST.,Pennsylvania,York,York,09-Mar-00,Parts per billion,8.75,22,2,21,Parts per million,0.023625,0.042,10,36,Parts per billion,8.675,22,2,,Parts per million,0.358333,0.4,0,5,0,No
284507,6,19,243,1005 W. WELDON AVENUE,California,Fresno,Fresno,01-Feb-03,Parts per billion,23,36,17,34,Parts per million,0.004708,0.011,9,9,Parts per billion,1.628571,3.6,2,,Parts per million,1.217391,2,0,,0,No
73495,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,18-Oct-00,Parts per billion,16.041667,25,14,24,Parts per million,0.008125,0.014,0,12,Parts per billion,5.333333,9,19,13,Parts per million,0,0,0,0,0,No
503249,36,5,83,200TH STREET AND SOUTHERN BLVD Harding Lab,New York,Bronx,New York,07-Feb-05,Parts per billion,17.791667,30,0,28,Parts per million,0.025125,0.039,9,33,Parts per billion,4.35,8,2,,Parts per million,0.695833,0.9,1,10,0,No
435401,42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,31-May-04,Parts per billion,6.375,20,3,19,Parts per million,0.027042,0.042,10,36,Parts per billion,4.7625,8.3,8,,Parts per million,0,0,0,,0,No
410426,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,13-Jul-04,Parts per billion,14.454545,20,8,19,Parts per million,0.023417,0.033,20,28,Parts per billion,1.6125,4.6,2,,Parts per million,0.056522,0.2,15,,0,No
543,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,19-May-00,Parts per billion,4.1,6.6,1,6,Parts per million,0.037375,0.07,10,84,Parts per billion,4.15,5.3,23,,Parts per million,0.975,1.8,7,20,0,No
3837,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,21-Mar-00,Parts per billion,14.521739,40,19,38,Parts per million,0.027167,0.045,9,38,Parts per billion,1.272727,2,17,3,Parts per million,0.466667,0.8,23,9,0,No
206206,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,08-Oct-02,Parts per billion,15.869565,34,20,32,Parts per million,0.070083,0.109,11,185,Parts per billion,1.442857,2.6,8,,Parts per million,0.4375,0.8,0,9,0,No
40996,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,11-May-00,Parts per billion,17.916667,34,20,32,Parts per million,0.014917,0.029,9,25,Parts per billion,6.6375,12,2,,Parts per million,1.125,2.6,23,,0,No
134709,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,26-Aug-01,Parts per billion,14.541667,22,1,21,Parts per million,0.033208,0.053,10,45,Parts per billion,5.125,26,17,37,Parts per million,0.858333,1.3,3,,0,No
342045,42,3,10,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,24-Jul-03,Parts per billion,18.210526,36,20,34,Parts per million,0.016167,0.036,11,31,Parts per billion,5.583333,22,16,31,Parts per million,0.4125,1.1,21,,0,No
291988,6,37,5001,"5234 W. 120TH ST., HAWTHORNE",California,Los Angeles,Hawthorne,29-Mar-03,Parts per billion,30.217391,53,21,50,Parts per million,0.020292,0.046,10,39,Parts per billion,0,0,0,0,Parts per million,0.845833,1.6,6,18,0,No
393779,6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,21-Sep-04,Parts per billion,15.521739,35,18,33,Parts per million,0.026125,0.047,9,40,Parts per billion,0.26087,1,2,1,Parts per million,0.308333,0.5,23,6,0,No
280447,6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,03-Aug-03,Parts per billion,6.217391,11,23,10,Parts per million,0.023,0.035,10,30,Parts per billion,2.314286,5,23,,Parts per million,0.33913,0.6,8,,0,No
340206,40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464",Oklahoma,Cherokee,Park Hill,05-Dec-03,Parts per billion,6.375,21,19,20,Parts per million,0.030625,0.056,11,47,Parts per billion,0,0,0,0,Parts per million,0,0,0,0,0,No
383894,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,28-May-04,Parts per billion,4.391304,6,0,6,Parts per million,0.035667,0.042,2,36,Parts per billion,1.214286,1.6,14,,Parts per million,0.586957,0.6,0,,0,No
206438,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,10-Jul-02,Parts per billion,26.608696,46,21,43,Parts per million,0.034417,0.069,9,80,Parts per billion,0.7,1,8,,Parts per million,0.766667,1,0,11,0,No
147448,21,145,1024,"JACKSON PURCHASE RECC, 2901 POWELL STREET",Kentucky,McCracken,Paducah,28-May-01,Parts per billion,7.869565,25,22,24,Parts per million,0.043542,0.063,11,61,Parts per billion,3.257143,8,11,,Parts per million,0,0,0,0,0,No
419379,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,19-Apr-04,Parts per billion,13.125,31,6,29,Parts per million,0.051208,0.068,14,77,Parts per billion,4.0875,6.3,8,,Parts per million,0.0625,0.2,7,,0,No
389089,6,75,6,"100 WHITNEY YOUNG CIRCLE, SAN FRANCISCO",California,San Francisco,San Francisco,26-Jun-04,Parts per billion,8.73913,12,5,11,Parts per million,0.020125,0.025,9,21,Parts per billion,3.347826,4,14,6,Parts per million,0.1125,0.2,8,2,0,No
307495,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,08-Apr-03,Parts per billion,2.478261,5,5,5,Parts per million,0.020333,0.026,10,22,Parts per billion,0.956522,2,17,3,Parts per million,0.295652,0.3,0,,0,No
378904,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,03-Jul-04,Parts per billion,13.913043,38,0,36,Parts per million,0.029625,0.046,11,39,Parts per billion,4.086957,5,0,7,Parts per million,0.665217,1.7,0,,0,No
172555,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,17-Apr-01,Parts per billion,19.066667,27,6,25,Parts per million,0.018125,0.023,21,19,Parts per billion,1.478261,3,6,4,Parts per million,0.43913,0.7,6,,0,No
278930,6,13,2,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,06-Jun-03,Parts per billion,7.695652,18,6,17,Parts per million,0.037875,0.043,7,36,Parts per billion,0,0,0,0,Parts per million,0.454167,0.5,8,6,0,No
401101,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,23-Nov-04,Parts per billion,23,27,16,25,Parts per million,0.003333,0.005,21,4,Parts per billion,4.541667,9,6,13,Parts per million,0.604167,0.8,21,9,0,No
304414,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,15-Jun-03,Parts per billion,10.26087,22,1,21,Parts per million,0.029458,0.033,20,28,Parts per billion,1.7,2,8,,Parts per million,0.429167,0.5,0,6,0,No
322047,20,107,2,COUNTY RD 1103 .7 MI SOUTH OF K-52,Kansas,Linn,Not in a city,28-Feb-03,Parts per billion,8.25,14,0,13,Parts per million,0.016833,0.023,9,19,Parts per billion,2.875,6.6,11,,Parts per million,0.145833,0.2,0,,0,No
259168,42,13,801,2ND AVE & 7TH ST,Pennsylvania,Blair,Altoona,10-May-02,Parts per billion,6.083333,13,6,12,Parts per million,0.016917,0.023,0,19,Parts per billion,5.791667,12,7,17,Parts per million,0,0,0,0,0,No
309696,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,03-Dec-03,Parts per billion,0.772727,2,17,2,Parts per million,0.031125,0.037,11,31,Parts per billion,0.363636,1,0,1,Parts per million,0.1,0.1,0,1,0,No
234504,21,19,17,"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,28-Mar-02,Parts per billion,18.217391,34,23,32,Parts per million,0.018208,0.034,10,29,Parts per billion,7.925,17.6,17,,Parts per million,0.141667,0.3,8,3,0,No
150107,26,163,16,2451 MARQUETTE,Michigan,Wayne,Detroit,05-Jun-01,Parts per billion,9.25,29,0,27,Parts per million,0.038042,0.047,11,40,Parts per billion,1.625,7,0,10,Parts per million,0.091667,0.4,2,,0,No
70581,42,7,14,EIGHT STREET AND RIVER ALLEY,Pennsylvania,Beaver,Beaver Falls,05-Oct-00,Parts per billion,12.041667,39,1,37,Parts per million,0.021458,0.036,6,31,Parts per billion,1.25,10,8,14,Parts per million,0.029167,0.1,1,1,0,No
414,4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,17-Apr-00,Parts per billion,23.157895,42,0,40,Parts per million,0.026333,0.043,11,36,Parts per billion,0.933333,3,8,,Parts per million,0.558333,1.8,6,,0,No
328594,26,81,20,1179 MONROE NW,Michigan,Kent,Grand Rapids,23-Jul-03,Parts per billion,13.695652,30,20,28,Parts per million,0.014875,0.027,10,23,Parts per billion,0.166667,1,6,1,Parts per million,0.433333,0.6,20,7,0,No
40217,11,1,41,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,23-Apr-00,Parts per billion,12.083333,27,22,25,Parts per million,0.020458,0.025,7,21,Parts per billion,3.775,6,17,,Parts per million,0.891667,1,0,11,0,No
439753,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,20-Jul-04,Parts per billion,13.541667,32,6,30,Parts per million,0.041708,0.059,10,50,Parts per billion,0.4375,1.3,8,,Parts per million,0.241667,0.7,6,,0,No
145125,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),05-Jan-01,Parts per billion,9.782609,24,6,23,Parts per million,0.043333,0.054,11,46,Parts per billion,2.866667,5,23,,Parts per million,0,0,0,,0,No
345409,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,25-Jul-03,Parts per billion,13.625,35,20,33,Parts per million,0.027833,0.062,12,58,Parts per billion,8.55,11.3,8,,Parts per million,0.3875,0.7,21,,0,No
343334,42,11,9,UGI CO MONGANTOWN RD AND PROSPECT ST,Pennsylvania,Berks,Reading,21-Apr-03,Parts per billion,17.111111,30,5,28,Parts per million,0.024875,0.035,11,30,Parts per billion,11.666667,13,23,,Parts per million,0.266667,0.3,6,3,0,No
29051,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,29-Jul-00,Parts per billion,3.52381,5,5,5,Parts per million,0.037591,0.056,13,47,Parts per billion,1.25,2.3,17,,Parts per million,0.2,0.2,0,2,0,No
306568,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,12-Sep-03,Parts per billion,4.391304,16,17,15,Parts per million,0.036708,0.041,0,35,Parts per billion,0.130435,1,8,1,Parts per million,0.179167,0.3,19,3,0,No
349179,42,73,15,CROTON ST & JEFFERSON ST.,Pennsylvania,Lawrence,New Castle,22-Oct-03,Parts per billion,5.916667,12,7,11,Parts per million,0.021208,0.027,11,23,Parts per billion,3.325,4,5,,Parts per million,0.2625,0.4,8,,0,No
194835,6,37,30,651 S. MOTT STREET (SB 25 TRAILER),California,Los Angeles,Los Angeles,27-Mar-02,Parts per billion,31.043478,42,18,40,Parts per million,0.032292,0.043,9,36,Parts per billion,3.971429,7.3,2,,Parts per million,0.734783,1.8,0,,0,No
8621,6,13,3001,"583 W. 10TH ST., PITTSBURG",California,Contra Costa,Pittsburg,14-Jul-00,Parts per billion,11.826087,18,20,17,Parts per million,0.025208,0.041,11,35,Parts per billion,2.409091,9,13,13,Parts per million,0.4875,0.6,9,7,0,No
439859,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,17-Aug-04,Parts per billion,16.083333,36,8,34,Parts per million,0.033542,0.057,10,48,Parts per billion,0,0,0,0,Parts per million,0.445833,1.2,8,,0,No
27237,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,22-Apr-00,Parts per billion,9.217391,17,6,16,Parts per million,0.035042,0.043,16,36,Parts per billion,1.227273,2,5,3,Parts per million,0.529167,0.6,9,7,0,No
111618,6,65,8001,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux,01-Oct-01,Parts per billion,15.782609,33,10,31,Parts per million,0.017542,0.03,21,25,Parts per billion,0,0,2,,Parts per million,0.652174,2.4,8,,0,No
167578,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,29-Jul-01,Parts per billion,2.916667,7,0,7,Parts per million,0.031625,0.046,0,39,Parts per billion,2.333333,6,19,9,Parts per million,0.291667,0.3,0,3,0,No
310667,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,11-Oct-03,Parts per billion,1.478261,3,20,3,Parts per million,0.033167,0.037,9,31,Parts per billion,0.695652,1,2,1,Parts per million,0.152174,0.2,11,,0,No
410374,25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,30-Jun-04,Parts per billion,20.166667,44,20,42,Parts per million,0.0275,0.036,9,31,Parts per billion,2.042857,3,8,,Parts per million,0.073913,0.7,20,,0,No
356742,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,18-Oct-03,Parts per billion,35.291667,62,19,60,Parts per million,0.020208,0.046,10,39,Parts per billion,1.217391,3,10,4,Parts per million,0.6875,0.8,3,9,0,No
468854,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,01-Feb-05,Parts per billion,13.869565,35,19,33,Parts per million,0.023083,0.038,10,32,Parts per billion,2.085714,2.3,11,,Parts per million,0.529167,0.9,0,10,0,No
357978,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,09-Jan-03,Parts per billion,9.333333,21,21,20,Parts per million,0.038667,0.054,10,46,Parts per billion,0,0,0,0,Parts per million,0.304167,0.4,19,5,0,No
423540,40,115,9004,"QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI",Oklahoma,Ottawa,Miami,30-Apr-04,Parts per billion,4.25,9,23,8,Parts per million,0.030583,0.046,11,39,Parts per billion,0,0,0,0,Parts per million,0,0,0,0,0,No
502244,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,27-Sep-05,Parts per billion,12.958333,24,20,23,Parts per million,0.025083,0.04,10,34,Parts per billion,1.083333,2,22,3,Parts per million,0.579167,0.8,19,,0,No
93763,4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,26-Nov-01,Parts per billion,29.181818,46,19,43,Parts per million,0.002875,0.004,7,3,Parts per billion,1.825,3.6,20,,Parts per million,1.041667,1.3,11,15,0,No
435730,42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,22-Aug-04,Parts per billion,8.25,16,21,15,Parts per million,0.0245,0.053,11,45,Parts per billion,9.583333,70,10,94,Parts per million,0.370833,0.4,0,5,0,No
47459,20,191,2,"707 E 119TH ST SOUTH,PECK COMMUNITY BLDG",Kansas,Sumner,Not in a city,06-Oct-00,Parts per billion,1.708333,4,20,4,Parts per million,0.023375,0.03,12,25,Parts per billion,0,0,0,0,Parts per million,0,0,0,0,0,No
174618,42,129,8,DONOHOE ROAD - PENN DOT MAINT DIST BLDG,Pennsylvania,Westmoreland,Greensburg,07-Aug-01,Parts per billion,10.875,25,21,24,Parts per million,0.034542,0.064,13,64,Parts per billion,15.8,25,2,,Parts per million,0.1625,0.2,0,2,0,No
452834,6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,20-Aug-05,Parts per billion,3.521739,6,6,6,Parts per million,0.020792,0.024,20,20,Parts per billion,1.085714,1.3,8,,Parts per million,0.15,0.2,0,2,0,No
26931,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,02-May-00,Parts per billion,19.043478,40,22,38,Parts per million,0.017083,0.03,0,25,Parts per billion,2.042857,2.3,23,,Parts per million,0.6125,1.4,23,16,0,No
215566,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,21-Feb-02,Parts per billion,11.347826,24,21,23,Parts per million,0.023042,0.041,10,35,Parts per billion,0.478261,2,7,3,Parts per million,0.6,0.9,9,10,0,No
173542,42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,04-Dec-01,Parts per billion,9.041667,25,6,24,Parts per million,0.046042,0.063,12,61,Parts per billion,6.9,13.3,23,,Parts per million,0.025,0.1,6,1,0,No
214562,6,83,1025,LFC #1-LAS FLORES CANYON,California,Santa Barbara,Capitan,14-Jun-02,Parts per billion,2.956522,5,8,5,Parts per million,0.04775,0.055,12,47,Parts per billion,0.26087,1,7,1,Parts per million,0.3,0.3,0,3,0,No
478934,6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,08-Jun-05,Parts per billion,5.571429,9,0,8,Parts per million,0.032364,0.04,9,34,Parts per billion,0.142857,2,12,3,Parts per million,0.2,0.2,0,2,0,No
216113,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,07-Aug-02,Parts per billion,0.782609,3,20,3,Parts per million,0.030208,0.04,10,34,Parts per billion,1.043478,2,12,3,Parts per million,0.147826,0.3,3,,0,No
102843,6,29,14,"5558 California Ave., Bakersfield CA 93309",California,Kern,Bakersfield,23-Mar-01,Parts per billion,22,57,20,54,Parts per million,0.024792,0.051,11,43,Parts per billion,1.814286,2.6,23,,Parts per million,0.420833,0.8,23,9,0,No
124485,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,28-Mar-01,Parts per billion,3.73913,16,6,15,Parts per million,0.028458,0.033,0,28,Parts per billion,0.086957,1,3,1,Parts per million,0.265217,0.6,6,,0,No
196000,6,37,1002,"228 W. PALM AVE., BURBANK",California,Los Angeles,Burbank,20-Feb-02,Parts per billion,48.608696,70,13,68,Parts per million,0.006667,0.017,9,14,Parts per billion,1.414286,2,14,,Parts per million,1.3,1.6,23,18,0,No
198467,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,11-Nov-02,Parts per billion,35.391304,62,17,60,Parts per million,0.009708,0.025,8,21,Parts per billion,1.782609,3,18,4,Parts per million,1.330435,3.1,18,,0,No
341449,40,115,9004,"QUAPAW TRIBE'S INDUSTRIAL PARK, MIAMI",Oklahoma,Ottawa,Miami,08-Sep-03,Parts per billion,7.833333,20,2,19,Parts per million,0.037708,0.061,10,54,Parts per billion,0,0,2,,Parts per million,0.066667,0.1,0,,0,No
297677,6,67,6,"DEL PASO-2701 AVALON DR, SACRAMENTO",California,Sacramento,Arden-Arcade,04-Feb-03,Parts per billion,7.521739,12,6,11,Parts per million,0.050417,0.06,8,51,Parts per billion,0.521739,1,4,1,Parts per million,0.291304,1.6,23,,0,No
300431,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,09-Sep-03,Parts per billion,9.086957,25,23,24,Parts per million,0.027208,0.035,7,30,Parts per billion,3.9,4,2,,Parts per million,0.386957,0.7,23,,0,No
419114,36,103,9,57 DIVISION STREET,New York,Suffolk,Holtsville,13-Feb-04,Parts per billion,21.043478,33,19,31,Parts per million,0.015875,0.034,8,29,Parts per billion,14.217391,33,6,47,Parts per million,0.141667,0.2,7,2,0,No
120460,6,73,2007,"1100 PASEO INTERNATIONAL, OTAY MESA, CA",California,San Diego,San Diego,06-Jul-01,Parts per billion,15.434783,24,9,23,Parts per million,0.028708,0.04,9,34,Parts per billion,6.217391,21,11,30,Parts per million,0.316667,0.4,9,5,0,No
409294,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,29-Sep-04,Parts per billion,24.318182,51,6,48,Parts per million,0.05175,0.087,9,129,Parts per billion,10.625,20.6,11,,Parts per million,0.8,1,9,,0,No
45548,18,97,73,"NAVAL AVIONICS CENTER, 6125 E. 16TH ST.",Indiana,Marion,Indianapolis (Remainder),21-Apr-00,Parts per billion,9.041667,14,7,13,Parts per million,0.025125,0.031,18,26,Parts per billion,6.171429,6.6,20,,Parts per million,0.3625,0.5,7,,0,No
292875,6,37,5001,"5234 W. 120TH ST., HAWTHORNE",California,Los Angeles,Hawthorne,11-Sep-03,Parts per billion,9.217391,29,5,27,Parts per million,0.01325,0.021,10,18,Parts per billion,0,0,2,,Parts per million,0.208696,0.8,6,,0,No
482540,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,03-Feb-05,Parts per billion,17.136364,32,20,30,Parts per million,0.01325,0.029,10,25,Parts per billion,2.1,3,11,,Parts per million,0.433333,0.9,23,10,0,No
286909,6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,15-Jul-03,Parts per billion,7.869565,15,8,14,Parts per million,0.02175,0.04,9,34,Parts per billion,0.185714,0.3,14,,Parts per million,0.573913,1,8,,0,No
483157,6,95,4,304 TUOLUMNE ST.,California,Solano,Vallejo,08-Apr-05,Parts per billion,8.26087,12,12,11,Parts per million,0.023875,0.032,10,27,Parts per billion,1.090909,2,1,3,Parts per million,0.347826,0.4,7,,0,No
167406,42,21,11,MILLER AUTO SHOP 1 MESSENGER ST,Pennsylvania,Cambria,Johnstown,15-Jun-01,Parts per billion,7.083333,15,7,14,Parts per million,0.02825,0.045,14,38,Parts per billion,2,5,5,7,Parts per million,0.55,0.7,0,8,0,No
81533,42,129,8,DONOHOE ROAD - PENN DOT MAINT DIST BLDG,Pennsylvania,Westmoreland,Greensburg,27-Sep-00,Parts per billion,18.521739,27,20,25,Parts per million,0.0125,0.024,10,20,Parts per billion,12.875,23.6,11,,Parts per million,0.125,0.3,20,3,0,No
48678,20,209,21,"1210 N. 10TH ST.,JFK RECREATION CENTER",Kansas,Wyandotte,Kansas City,22-Sep-00,Parts per billion,6.25,22,0,21,Parts per million,0.030833,0.046,10,39,Parts per billion,1.333333,15,0,21,Parts per million,0.766667,0.9,6,,0,No
417914,36,81,124,Queens College   65-30 Kissena Blvd  Parking Lot#6,New York,Queens,New York,30-Mar-04,Parts per billion,20.666667,34,20,32,Parts per million,0.027,0.033,10,28,Parts per billion,2.35,7,20,,Parts per million,0.345833,0.7,20,,0,No
153698,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,09-May-01,Parts per billion,6.782609,15,19,14,Parts per million,0.026417,0.042,11,36,Parts per billion,3.1375,4.6,23,,Parts per million,0.529167,0.9,0,10,0,No
106879,6,37,1103,"1630 N MAIN ST, LOS ANGELES",California,Los Angeles,Los Angeles,17-Sep-01,Parts per billion,31.173913,48,11,45,Parts per million,0.028667,0.043,12,36,Parts per billion,2.7,3,8,,Parts per million,0.6125,0.7,13,8,0,No
41657,12,95,2002,MORRIS BLVD.,Florida,Orange,Winter Park,24-Apr-00,Parts per billion,11.791667,23,6,22,Parts per million,0.028625,0.043,8,36,Parts per billion,0.7375,2.3,5,,Parts per million,0.516667,0.6,10,7,0,No
13854,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,05-May-00,Parts per billion,23.521739,40,6,38,Parts per million,0.035292,0.05,8,42,Parts per billion,0.608696,2,6,3,Parts per million,0.291304,0.7,7,,0,No
469341,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,05-Jun-05,Parts per billion,4.913043,9,5,8,Parts per million,0.044042,0.049,2,42,Parts per billion,3,3,2,,Parts per million,0.504348,0.6,5,,0,No
109186,6,37,5001,"5234 W. 120TH ST., HAWTHORNE",California,Los Angeles,Hawthorne,20-Apr-01,Parts per billion,14.826087,44,7,42,Parts per million,0.033625,0.045,11,38,Parts per billion,3.128571,5,11,,Parts per million,0.447826,1.8,6,,0,No
445371,4,13,3003,2857 N MILLER RD-S SCOTTSDALE STN,Arizona,Maricopa,Scottsdale,12-Jan-05,Parts per billion,30.454545,49,18,46,Parts per million,0.01125,0.026,8,22,Parts per billion,1.130435,2,7,3,Parts per million,1.330435,2.8,19,,0,No
22559,6,73,1,"80 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista,01-Sep-00,Parts per billion,33.043478,57,18,54,Parts per million,0.013417,0.03,10,25,Parts per billion,2.217391,5,12,7,Parts per million,1.345833,2.3,1,26,0,No
148570,22,33,9,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,09-Jul-01,Parts per billion,18.541667,29,1,27,Parts per million,0.005917,0.014,8,12,Parts per billion,3.3,7.6,23,,Parts per million,0.9875,1.1,0,13,0,No
465239,6,67,2,"7823 BLACKFOOT WAY, NORTH HIGHLANDS",California,Sacramento,Not in a city,05-Jun-05,Parts per billion,5,11,22,10,Parts per million,0.018708,0.031,9,26,Parts per billion,0.434783,1,2,1,Parts per million,0.243478,0.4,4,,0,No
470901,6,73,1007,"330A 12TH AVE., SAN DIEGO, CA. 92112",California,San Diego,San Diego,06-Aug-05,Parts per billion,20.652174,37,4,35,Parts per million,0.029667,0.037,9,31,Parts per billion,2,2,0,3,Parts per million,0.613043,1.2,5,,0,No
315825,8,1,3001,3174 E. 78TH AVE.,Colorado,Adams,Welby,12-Jul-03,Parts per billion,27,40,9,38,Parts per million,0.006833,0.02,10,17,Parts per billion,5.885714,20.3,11,,Parts per million,1.316667,2.6,21,,0,No
